station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes,boundary_status,boundary_authority_code,boundary_authority_name,boundary_dataset,boundary_filter_timestamp,boundary_filter_version
airis_3729d40d75c6d2eecb5d,132455,Severn Road Car Park,"Severn Road, Cardiff",CF11 9DX,51.48201,-3.19883,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132455,2019-10-02T08:31:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_8de65bb0720d6c78e1fb,187690,Kyveilog Street,"Kyveilog Street, Cardiff",CF11 9JA,51.487668,-3.197033,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/187690,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_0328717e3cea0ac1806f,265999,EVC Holiday Inn Express Cardiff,"Longueil Close, Schooner Way, Cardiff",CF10 4EE,51.47244440973024,-3.164669448584325,Roam Charging (UK),Open Charge Map Contributors,operational,4.0,4.0,22.0,public,,https://openchargemap.org/site/poi/details/265999,2023-05-26T09:40:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_95801a2e85a43c20b2c7,200334,Redlaver Street,"redlaver Street, Cardiff",CF117YL,51.469115,-3.184647,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/200334,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_9f8cf84028bb4c8a1ace,200416,Pontcanna Street,"Pontcanna Street, Cardiff",CF119HQ,51.486898,-3.199894,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/200416,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_39b94fd4816ab150bff0,115033,MFG Texaco Ninian,"Sloper Road, Cardiff",CF11 8BN,51.469647,-3.195624,The GeniePoint Network ( EQUANS EV Solutions ),Open Charge Map Contributors,operational,1.0,3.0,50.0,public,£1.00 + £0.30/kWh,https://openchargemap.org/site/poi/details/115033,2019-01-23T17:43:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_b8ca386746aa48913e8f,47476,UK Steel Enterprise Cardiff,"Cardiff Bay Business Centre, Titan House, Lewis Road, Ocean Park, Cardiff, Wales",CF24 5BS,51.476339,-3.154874,Zero Carbon World,Open Charge Map Contributors,operational,1.0,1.0,7.0,public,,https://openchargemap.org/site/poi/details/47476,2015-05-27T11:43:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_5bce80e842998aee7c52,285770,Harvey Street,"Harvey Street Car Park, Cardiff",CF5 1QW,51.48224,-3.205278,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285770,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_dd426e6fa2b075eb051d,132459,Turning Head Car Park - Cardiff,"Penhill Road, Cardiff",CF11 9QJ,51.48915,-3.2036,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132459,2019-10-02T08:39:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_b3f8c8a32ad90052f6c8,132456,Anglesey Street - Cardiff,"Anglesey Street, Cardiff",CF5 1QZ,51.48313,-3.20707,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132456,2019-10-02T08:32:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
