station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes,boundary_status,boundary_authority_code,boundary_authority_name,boundary_dataset,boundary_filter_timestamp,boundary_filter_version
airis_8d94d0ae240c5a20acc0,157804,Holiday Inn Express Cardiff Airport Port Road,"Rhoose, Cardiff",CF62 3BT,51.397797,-3.332942,BP Pulse (UK),Open Charge Map Contributors,,,,50.0,public,£0.79/kWh; other tariffs available,https://openchargemap.org/site/poi/details/157804,2023-08-23T10:45:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_e41f7892997425075f14,187801,Rogerstone,"Rogerstone, Newport",NP10 9NA,51.584775,-3.052874,VIRTA,Open Charge Map Contributors,operational,1.0,,100.0,public,£0.63/kWh; other tariffs available,https://openchargemap.org/site/poi/details/187801,2022-04-15T11:38:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_6e56112f936cea97a312,173047,Tesco Extra-Risca,"Pontymister Industrial Estate, Newport Road, Risca",NP11 6NP,51.60259,-3.097831,POD Point (UK),Open Charge Map Contributors,operational,4.0,6.0,50.0,public,£0.49/kWh,https://openchargemap.org/site/poi/details/173047,2023-06-11T05:19:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_9a9e0d1bdd0fccd5ba10,200637,"Tredegar Park, Newport",Newport,NP10 8YJ,51.569014,-3.021717,Silverstone Green Energy,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/200637,2023-05-04T08:49:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_a11735aebc119b1aa035,214501,Azalea Road,"Azalea Road, Rogerstone",NP10 9SA,51.597099,-3.078313,The GeniePoint Network ( EQUANS EV Solutions ),UK National Charge Point Registry,,,,50.0,public,,https://openchargemap.org/site/poi/details/214501,2023-02-13T04:25:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_92fccb1eaa36a10cdaba,214500,"Rivermead Centre Car Park, Newport","Rivermead Centre Car Par, Newport",NP10 9LZ,51.594429,-3.070126,Connected Kerb,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/214500,2023-05-04T08:49:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_3d6148433941110af485,213043,Pye Corner Railway Station,"Western Valley Road, Pye Corner, Newport, Cymru / Wales",NP10 9DU,51.58147283050593,-3.041134763146971,Dragon Charging,Open Charge Map Contributors,operational,2.0,2.0,22.0,public,£0.65/kWh,https://openchargemap.org/site/poi/details/213043,2023-01-29T17:41:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_b5ff329f63c578c590a4,259470,InstaVolt McDonald's Meadowland,"Afon Ebbw Road, Rogerstone, Newport, Wales",NP10 9HZ,51.5974622,-3.0765198,InstaVolt Ltd,Open Charge Map Contributors,operational,2.0,4.0,120.0,public,£0.75/kWh,https://openchargemap.org/site/poi/details/259470,2023-04-03T08:27:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_ff58d85c4594a9af6356,173611,NP10 9LG,Newport,NP10 9LG,51.595108,-3.066715,The GeniePoint Network ( EQUANS EV Solutions ),UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/173611,2021-03-03T11:25:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_a26228573e5991dd5237,205043,Tesco Extra-Pontyclun Talbot Green,"Green Park, Talbot Green, Pontyclun",CF72 8RB,51.534967,-3.377051,POD Point (UK),Open Charge Map Contributors,operational,4.0,4.0,7.0,public,£0.44/kWh,https://openchargemap.org/site/poi/details/205043,2023-04-03T18:51:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
